Event,Details
Game_Start_Time,1749763638520
Target_Hit,ID 3 at 1749763649626
Target_Hit,ID 4 at 1749763653982
Target_Hit,ID 1 at 1749763657649
Reload,1749763648182
Reload,1749763648245
Reload,1749763648322
Reload,1749763650549
Reload,1749763650617
Reload,1749763654758
Reload,1749763654818
Shot_Fired,1749763646345
Shot_Fired,1749763649625
Shot_Fired,1749763653981
Shot_Fired,1749763657648
Game_End_Time,1749763657000
Score,3
Total_Shots_Fired,4
